Song,Title,Book,Length,Offset,Start,End
WEST COAST BLUES               ,WEST COAST BLUES - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,349,349
WHATS NEW?                     ,WHATS NEW? - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,350,350
WHERE IS LOVE?                 ,WHERE IS LOVE? - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,351,351
WHO CAN I TURN TO?             ,WHO CAN I TURN TO? - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,352,352
WILDFLOWER                     ,WILDFLOWER - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,353,353
WILLOW WEEP FOR ME             ,WILLOW WEEP FOR ME - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,354,354
WITCHCRAFT                     ,WITCHCRAFT - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,355,355
YES AND NO                     ,YES AND NO - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,356,356
YOUNG RABBITS                  ,YOUNG RABBITS - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,357,357
YOUR MIND IS ON VACATION       ,YOUR MIND IS ON VACATION - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,358,358
ALL OR NOTHING AT ALL,ALL OR NOTHING AT ALL - Eb Item nrb1,The New Real Book Eb I.pdf,2,11,370,371
DO NOTHING ’TIL YOU HEAR FROM ME,DO NOTHING ’TIL YOU HEAR FROM ME - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,372,372
DON’T GET AROUND MUCH ANYMORE,DON’T GET AROUND MUCH ANYMORE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,373,373
GOOD MORNING HEARTACHE,GOOD MORNING HEARTACHE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,374,374
MISTY,MISTY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,375,375
SPEAK LOW,SPEAK LOW - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,376,377
STORMY WEATHER,STORMY WEATHER - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,378,379
AFFIRMATION             ,AFFIRMATION - Eb Page nrb1,The New Real Book Eb I.pdf,1,0,14,
