Song,Title,Book,Length,Offset,Start,End
AIREGN                  ,AIREGN - C Page nrb1,The New Real Book C.pdf,1,0,15,
ALL OF ME               ,ALL OF ME - C Page nrb1,The New Real Book C.pdf,1,1,17,
ALWAYS THERE            ,ALWAYS THERE - C Page nrb1,The New Real Book C.pdf,2,0,18,
ANA MARIA               ,ANA MARIA - C Page nrb1,The New Real Book C.pdf,2,0,20,
ANGEL EYES              ,ANGEL EYES - C Page nrb1,The New Real Book C.pdf,2,0,22,
ANTHROPOLOGY            ,ANTHROPOLOGY - C Page nrb1,The New Real Book C.pdf,1,0,24,
AUTUMN LEAVES           ,AUTUMN LEAVES - C Page nrb1,The New Real Book C.pdf,1,0,25,
BABY  I LOVE YOU        ,BABY I LOVE YOU - C Page nrb1,The New Real Book C.pdf,2,0,26,
BASIN STREET BLUES      ,BASIN STREET BLUES - C Page nrb1,The New Real Book C.pdf,1,0,28,
BEAUTIFUL LOVE          ,BEAUTIFUL LOVE - C Page nrb1,The New Real Book C.pdf,1,0,29,
BERNIE'S TUNE           ,BERNIE'S TUNE - C Page nrb1,The New Real Book C.pdf,1,0,30,
BIRD FOOD               ,BIRD FOOD - C Page nrb1,The New Real Book C.pdf,1,0,31,
BLACK ICE               ,BLACK ICE - C Page nrb1,The New Real Book C.pdf,2,0,32,
BLACK NARCISSUS         ,BLACK NARCISSUS - C Page nrb1,The New Real Book C.pdf,1,1,35,
BLIZZARD OF LIES        ,BLIZZARD OF LIES - C Page nrb1,The New Real Book C.pdf,2,0,36,
BLUE BOSSA              ,BLUE BOSSA - C Page nrb1,The New Real Book C.pdf,1,0,38,
BLUE DANIEL             ,BLUE DANIEL - C Page nrb1,The New Real Book C.pdf,1,0,39,
BLUES CONNOTATION       ,BLUES CONNOTATION - C Page nrb1,The New Real Book C.pdf,1,0,40,
BLUES ON THE CORNER     ,BLUES ON THE CORNER - C Page nrb1,The New Real Book C.pdf,1,0,41,
BOOGIE DOWN             ,BOOGIE DOWN - C Page nrb1,The New Real Book C.pdf,5,0,42,
